ID,Term,Abbreviation / Expansion,Plain-Language Definition,Category,Specialty,NCLEX Relevance,Related Terms,Editorial Status,Search Keywords
56,Central venous catheter,CVC,"A catheter whose tip lies in a large central vein, used for selected infusions, monitoring, or long-term access.",IV Therapy,Critical Care,High,Central line; CLABSI,Curated core release,central venous catheter cvc central line; clabsi
57,Cerebrovascular accident,CVA,A stroke caused by interrupted blood flow or bleeding in the brain.,Neurologic,Neuro,High,FAST; Ischemic stroke; Hemorrhagic stroke,Curated core release,cerebrovascular accident cva fast; ischemic stroke; hemorrhagic stroke
58,Chest tube,,"A tube inserted into the pleural space to remove air, blood, or fluid and help restore normal pressure.",Respiratory,Critical Care,High,Pneumothorax; Pleural drainage,Curated core release,chest tube  pneumothorax; pleural drainage
59,Chronic obstructive pulmonary disease,COPD,"A chronic lung disease with persistent airflow limitation, commonly including emphysema and chronic bronchitis.",Respiratory,Respiratory,High,Hypoxemia; Bronchodilator,Curated core release,chronic obstructive pulmonary disease copd hypoxemia; bronchodilator
60,Cirrhosis,,Chronic scarring and dysfunction of the liver.,Gastrointestinal,Med-Surg,High,Ascites; Portal hypertension,Curated core release,cirrhosis  ascites; portal hypertension
61,Clinical judgment,,"The process of recognizing and analyzing patient information, prioritizing concerns, taking action, and evaluating outcomes.",NCLEX Skills,All,High,Clinical judgment model; Prioritization,Curated core release,clinical judgment  clinical judgment model; prioritization
62,Clonus,,"Rhythmic involuntary muscle contractions triggered by sudden stretching, sometimes associated with neurologic hyperexcitability.",Neurologic,L&D,High,Preeclampsia; Hyperreflexia,Curated core release,clonus  preeclampsia; hyperreflexia
63,Clostridioides difficile,C. difficile,A bacterium that can cause antibiotic-associated diarrhea and colitis.,Infection Control,Med-Surg,High,Contact precautions; Soap and water,Curated core release,clostridioides difficile c. difficile contact precautions; soap and water
64,Code status,,A patient's documented preferences about resuscitation and life-sustaining treatment.,Ethics & Legal,All,High,DNR; Full code,Curated core release,code status  dnr; full code
65,Complete blood count,CBC,"A blood test that measures major blood cell components, including red cells, white cells, hemoglobin, hematocrit, and platelets.",Labs & Diagnostics,All,High,Hemoglobin; WBC; Platelets,Curated core release,complete blood count cbc hemoglobin; wbc; platelets
66,Confusion,,"Impaired clarity of thought, awareness, or orientation.",Neurologic,All,High,Delirium; Altered mental status,Curated core release,confusion  delirium; altered mental status
67,Constipation,,Infrequent or difficult passage of stool.,Gastrointestinal,All,Medium,Bowel regimen; Fiber,Curated core release,constipation  bowel regimen; fiber
68,Contact precautions,,Measures used to prevent spread of organisms transmitted by direct or indirect contact.,Infection Control,All,High,Gown; Gloves,Curated core release,contact precautions  gown; gloves
69,Contraindication,,"A condition or factor that makes a treatment, medication, or procedure inadvisable.",Pharmacology,All,High,Precaution; Adverse effect,Curated core release,contraindication  precaution; adverse effect
70,Crackles,,Discontinuous lung sounds often associated with fluid or reopening of collapsed small airways.,Assessment,Respiratory,High,Rales; Pulmonary edema,Curated core release,crackles  rales; pulmonary edema
71,Creatinine,,A waste product commonly measured to help assess kidney filtration.,Labs & Diagnostics,Renal,High,BUN; eGFR,Curated core release,creatinine  bun; egfr
72,Creatinine clearance,CrCl,An estimate of kidney filtration used in evaluating renal function and medication dosing.,Labs & Diagnostics,Renal,High,Creatinine; eGFR,Curated core release,creatinine clearance crcl creatinine; egfr
73,Cyanosis,,Bluish discoloration of skin or mucous membranes associated with inadequate oxygenation or circulation.,Assessment,All,High,Hypoxemia; Oxygenation,Curated core release,cyanosis  hypoxemia; oxygenation
74,Decubitus ulcer,,An older term for a pressure injury.,Skin & Wound,All,Medium,Pressure injury; Repositioning,Curated core release,decubitus ulcer  pressure injury; repositioning
75,Deep vein thrombosis,DVT,"A blood clot in a deep vein, usually in the leg, that can embolize to the lungs.",Cardiovascular,Med-Surg,High,Pulmonary embolism; Anticoagulation,Curated core release,deep vein thrombosis dvt pulmonary embolism; anticoagulation
76,Dehydration,,A deficit of body water that may impair circulation and electrolyte balance.,Fluids & Electrolytes,All,High,Hypovolemia; Fluid balance,Curated core release,dehydration  hypovolemia; fluid balance
77,Delegation,,Assignment of an appropriate task to another qualified person while retaining accountability for the decision to delegate.,Leadership,All,High,Five rights of delegation; UAP,Curated core release,delegation  five rights of delegation; uap
78,Delirium,,"An acute, fluctuating disturbance in attention and cognition, often caused by an underlying medical problem.",Neurologic,Geriatrics,High,Dementia; Acute confusion,Curated core release,delirium  dementia; acute confusion
79,Dementia,,A chronic decline in cognitive function that interferes with daily life.,Neurologic,Geriatrics,High,Delirium; Cognition,Curated core release,dementia  delirium; cognition
80,Diabetic ketoacidosis,DKA,"A life-threatening complication of diabetes involving hyperglycemia, ketone production, dehydration, and metabolic acidosis.",Endocrine,ER,High,Kussmaul respirations; Insulin,Curated core release,diabetic ketoacidosis dka kussmaul respirations; insulin
81,Diarrhea,,Frequent loose or watery stools.,Gastrointestinal,All,Medium,Dehydration; C. difficile,Curated core release,diarrhea  dehydration; c. difficile
82,Diastolic blood pressure,DBP,The arterial pressure when the ventricles relax between contractions.,Cardiovascular,All,High,Systolic blood pressure; MAP,Curated core release,diastolic blood pressure dbp systolic blood pressure; map
83,Diuresis,,Increased production and excretion of urine.,Renal,Med-Surg,Medium,Diuretic; Fluid balance,Curated core release,diuresis  diuretic; fluid balance
84,Diuretic,,A medication that increases urine production to remove sodium and water.,Pharmacology,Cardiac,High,Furosemide; Electrolytes,Curated core release,diuretic  furosemide; electrolytes
85,Do not resuscitate,DNR,A medical order indicating that CPR should not be started if breathing or heartbeat stops.,Ethics & Legal,All,High,Code status; Advance directive,Curated core release,do not resuscitate dnr code status; advance directive
86,Droplet precautions,,Measures used for pathogens spread mainly by large respiratory droplets over short distances.,Infection Control,All,High,Surgical mask; Isolation,Curated core release,droplet precautions  surgical mask; isolation
87,Dysphagia,,Difficulty swallowing.,Gastrointestinal,All,High,Aspiration; Swallow evaluation,Curated core release,dysphagia  aspiration; swallow evaluation
88,Dyspnea,,The subjective sensation of difficult or uncomfortable breathing.,Respiratory,All,High,Shortness of breath; Hypoxemia,Curated core release,dyspnea  shortness of breath; hypoxemia
89,Dysuria,,Pain or burning with urination.,Renal,All,Medium,UTI; Urinalysis,Curated core release,dysuria  uti; urinalysis
90,Ecchymosis,,A larger area of skin discoloration caused by bleeding under the skin.,Skin & Wound,All,Medium,Bruising; Bleeding,Curated core release,ecchymosis  bruising; bleeding
91,Edema,,Swelling caused by excess fluid in body tissues.,Assessment,All,High,Fluid overload; Pitting edema,Curated core release,edema  fluid overload; pitting edema
92,Ejection fraction,EF,The percentage of blood ejected from a ventricle with each contraction.,Cardiovascular,Cardiac,High,Heart failure; Echocardiogram,Curated core release,ejection fraction ef heart failure; echocardiogram
93,Electrocardiogram,ECG/EKG,A recording of the heart's electrical activity.,Labs & Diagnostics,Cardiac,High,Dysrhythmia; 12-lead ECG,Curated core release,electrocardiogram ecg/ekg dysrhythmia; 12-lead ecg
94,Electrolyte,,"A charged mineral in body fluids that supports functions such as nerve signaling, muscle contraction, and fluid balance.",Fluids & Electrolytes,All,High,Sodium; Potassium,Curated core release,electrolyte  sodium; potassium
95,Embolus,,Material traveling through the bloodstream that can block a vessel.,Cardiovascular,All,High,Thrombus; Pulmonary embolism,Curated core release,embolus  thrombus; pulmonary embolism
96,Enteral nutrition,,"Nutrition delivered through the gastrointestinal tract, often by feeding tube.",Nutrition,All,High,NG tube; Aspiration,Curated core release,enteral nutrition  ng tube; aspiration
97,Epinephrine,,A medication and hormone used in emergencies such as anaphylaxis and cardiac arrest.,Pharmacology,ER,High,Anaphylaxis; Vasopressor,Curated core release,epinephrine  anaphylaxis; vasopressor
98,Extravasation,,"Leakage of a vesicant medication or solution from a vein into surrounding tissue, potentially causing tissue injury.",IV Therapy,All,High,Infiltration; Vesicant,Curated core release,extravasation  infiltration; vesicant
99,Fall risk,,The likelihood that a patient may fall based on clinical and environmental factors.,Safety,All,High,Fall precautions; Mobility,Curated core release,fall risk  fall precautions; mobility
100,FAST,,"A stroke-recognition mnemonic: Face drooping, Arm weakness, Speech difficulty, Time to call emergency services.",Neurologic,ER,High,Stroke; CVA,Curated core release,fast  stroke; cva
101,Febrile,,Having a fever.,Assessment,All,Medium,Fever; Afebrile,Curated core release,febrile  fever; afebrile
102,Fever,,"An elevation in body temperature, often related to infection or inflammation.",Assessment,All,High,Pyrexia; Infection,Curated core release,fever  pyrexia; infection
103,Fluid overload,,"Excess body fluid that may cause edema, weight gain, hypertension, or pulmonary congestion.",Fluids & Electrolytes,Med-Surg,High,Edema; Heart failure,Curated core release,fluid overload  edema; heart failure
104,Foley catheter,,An indwelling urinary catheter held in the bladder by an inflated balloon.,Renal,All,High,CAUTI; Urinary catheter,Curated core release,foley catheter  cauti; urinary catheter
105,Furosemide,,A loop diuretic used to remove excess fluid and treat conditions such as edema and heart failure.,Pharmacology,Cardiac,High,Diuretic; Potassium,Curated core release,furosemide  diuretic; potassium
106,Gait,,The manner or pattern of walking.,Assessment,All,Medium,Mobility; Fall risk,Curated core release,gait  mobility; fall risk
107,Glasgow Coma Scale,GCS,"A standardized score assessing eye, verbal, and motor responses to estimate level of consciousness.",Neurologic,ER,High,Level of consciousness; Neuro assessment,Curated core release,glasgow coma scale gcs level of consciousness; neuro assessment
108,Glomerular filtration rate,GFR,A measure or estimate of how effectively the kidneys filter blood.,Labs & Diagnostics,Renal,High,eGFR; Creatinine,Curated core release,glomerular filtration rate gfr egfr; creatinine
109,Hand hygiene,,Cleaning hands with soap and water or alcohol-based hand rub to reduce transmission of microorganisms.,Infection Control,All,High,Standard precautions; Infection prevention,Curated core release,hand hygiene  standard precautions; infection prevention
110,Heart failure,HF,A clinical syndrome in which the heart cannot pump or fill effectively enough to meet the body's needs.,Cardiovascular,Cardiac,High,Ejection fraction; Fluid overload,Curated core release,heart failure hf ejection fraction; fluid overload
111,Hematocrit,Hct,The percentage of blood volume made up of red blood cells.,Labs & Diagnostics,All,High,Hemoglobin; Anemia,Curated core release,hematocrit hct hemoglobin; anemia
112,Hematuria,,Blood in the urine.,Renal,All,Medium,Urinalysis; UTI,Curated core release,hematuria  urinalysis; uti
113,Hemiparesis,,Weakness affecting one side of the body.,Neurologic,Neuro,High,Stroke; Hemiplegia,Curated core release,hemiparesis  stroke; hemiplegia
114,Hemiplegia,,Paralysis affecting one side of the body.,Neurologic,Neuro,High,Stroke; Hemiparesis,Curated core release,hemiplegia  stroke; hemiparesis
115,Hemoglobin,Hgb,The oxygen-carrying protein in red blood cells.,Labs & Diagnostics,All,High,Hematocrit; Anemia,Curated core release,hemoglobin hgb hematocrit; anemia
116,Hemorrhage,,Significant bleeding that can lead to reduced circulating volume and shock.,Emergency,All,High,Hypovolemic shock; Bleeding,Curated core release,hemorrhage  hypovolemic shock; bleeding
117,Heparin,,An anticoagulant that enhances antithrombin activity and reduces clot formation.,Pharmacology,All,High,aPTT; Bleeding; Anticoagulant,Curated core release,heparin  aptt; bleeding; anticoagulant
118,Hyperglycemia,,Blood glucose above the target or normal range.,Endocrine,All,High,Diabetes mellitus; Insulin,Curated core release,hyperglycemia  diabetes mellitus; insulin
119,Hyperkalemia,,An abnormally high blood potassium level that can cause dangerous cardiac changes.,Fluids & Electrolytes,Med-Surg,High,Potassium; ECG changes,Curated core release,hyperkalemia  potassium; ecg changes
120,Hypernatremia,,"An abnormally high blood sodium level, often reflecting a water deficit relative to sodium.",Fluids & Electrolytes,Med-Surg,High,Sodium; Dehydration,Curated core release,hypernatremia  sodium; dehydration
121,Hyperreflexia,,Exaggerated reflex responses.,Neurologic,L&D,High,Clonus; Preeclampsia,Curated core release,hyperreflexia  clonus; preeclampsia
122,Hypertension,HTN,Persistently elevated blood pressure.,Cardiovascular,All,High,Blood pressure; Stroke,Curated core release,hypertension htn blood pressure; stroke
123,Hyperthermia,,An abnormally elevated body temperature caused by failure of heat regulation rather than a regulated fever response.,Emergency,ER,Medium,Heat stroke; Temperature,Curated core release,hyperthermia  heat stroke; temperature
124,Hypoglycemia,,"Blood glucose below the expected range, potentially causing sweating, confusion, seizures, or loss of consciousness.",Endocrine,All,High,Glucose; Insulin,Curated core release,hypoglycemia  glucose; insulin
125,Hypokalemia,,An abnormally low blood potassium level that can affect muscles and cardiac rhythm.,Fluids & Electrolytes,Med-Surg,High,Potassium; Dysrhythmia,Curated core release,hypokalemia  potassium; dysrhythmia
126,Hyponatremia,,An abnormally low blood sodium level that can cause neurologic symptoms.,Fluids & Electrolytes,Med-Surg,High,Sodium; Seizure precautions,Curated core release,hyponatremia  sodium; seizure precautions
127,Hypotension,,Blood pressure low enough to reduce organ perfusion or cause symptoms.,Cardiovascular,All,High,Shock; Perfusion,Curated core release,hypotension  shock; perfusion
128,Hypovolemia,,Reduced circulating blood or fluid volume.,Fluids & Electrolytes,All,High,Dehydration; Hypovolemic shock,Curated core release,hypovolemia  dehydration; hypovolemic shock
129,Hypovolemic shock,,"Shock caused by inadequate circulating volume, often from blood or fluid loss.",Emergency,Critical Care,High,Hemorrhage; Perfusion,Curated core release,hypovolemic shock  hemorrhage; perfusion
130,Hypoxemia,,An abnormally low level of oxygen in arterial blood.,Respiratory,All,High,PaO2; Oxygen saturation,Curated core release,hypoxemia  pao2; oxygen saturation
131,Hypoxia,,Insufficient oxygen available to body tissues.,Respiratory,All,High,Hypoxemia; Cyanosis,Curated core release,hypoxia  hypoxemia; cyanosis
132,Ileus,,Reduced or absent intestinal motility causing impaired movement of contents through the bowel.,Gastrointestinal,Med-Surg,High,Bowel sounds; Abdominal distention,Curated core release,ileus  bowel sounds; abdominal distention
133,Immune response,,The body's coordinated reaction to substances recognized as foreign or harmful.,Immunology,All,Medium,Antigen; Antibody,Curated core release,immune response  antigen; antibody
134,Incentive spirometer,,"A device that encourages slow, deep inhalation to help prevent or treat atelectasis.",Respiratory,Med-Surg,High,Atelectasis; Postoperative care,Curated core release,incentive spirometer  atelectasis; postoperative care
135,Infarction,,Tissue death caused by prolonged loss of blood supply.,Cardiovascular,All,High,Ischemia; Myocardial infarction,Curated core release,infarction  ischemia; myocardial infarction
136,Infiltration,,Leakage of a nonvesicant IV solution into surrounding tissue.,IV Therapy,All,High,Extravasation; IV site,Curated core release,infiltration  extravasation; iv site
137,Informed consent,,A process in which a capable patient voluntarily agrees to a treatment after receiving adequate information about it.,Ethics & Legal,All,High,Autonomy; Capacity,Curated core release,informed consent  autonomy; capacity
138,Insulin,,A hormone that lowers blood glucose by facilitating glucose uptake and storage.,Endocrine,All,High,Diabetes mellitus; Hypoglycemia,Curated core release,insulin  diabetes mellitus; hypoglycemia
139,Intramuscular,IM,A route of medication administration into muscle tissue.,Medication Administration,All,High,Injection; Route,Curated core release,intramuscular im injection; route
140,Intravenous,IV,A route of administration directly into a vein.,IV Therapy,All,High,IV infusion; Venous access,Curated core release,intravenous iv iv infusion; venous access
141,Ischemia,,Inadequate blood flow and oxygen delivery to tissue.,Cardiovascular,All,High,Infarction; Angina,Curated core release,ischemia  infarction; angina
142,Isolation precautions,,Additional infection-control measures selected according to how a pathogen is transmitted.,Infection Control,All,High,Airborne; Droplet; Contact,Curated core release,isolation precautions  airborne; droplet; contact
143,Jaundice,,Yellowing of the skin or sclera caused by elevated bilirubin.,Gastrointestinal,Med-Surg,Medium,Bilirubin; Liver disease,Curated core release,jaundice  bilirubin; liver disease
144,Justice,,"The ethical principle of fairness in the distribution of care, benefits, risks, and resources.",Ethics & Legal,All,High,Ethics; Equity,Curated core release,justice  ethics; equity
145,Kussmaul respirations,,"Deep, rapid breathing associated with severe metabolic acidosis, classically diabetic ketoacidosis.",Respiratory,ER,High,DKA; Metabolic acidosis,Curated core release,kussmaul respirations  dka; metabolic acidosis
146,Lactate,,A laboratory marker that may rise with impaired tissue oxygen delivery or increased anaerobic metabolism.,Labs & Diagnostics,Critical Care,High,Sepsis; Shock,Curated core release,lactate  sepsis; shock
147,Leukocytosis,,An elevated white blood cell count.,Hematology,All,Medium,WBC; Infection,Curated core release,leukocytosis  wbc; infection
148,Leukopenia,,A reduced white blood cell count.,Hematology,Oncology,Medium,Neutropenia; Infection risk,Curated core release,leukopenia  neutropenia; infection risk
149,Level of consciousness,LOC,A description of a patient's alertness and responsiveness.,Neurologic,All,High,GCS; Neuro assessment,Curated core release,level of consciousness loc gcs; neuro assessment
150,Loading dose,,An initial larger dose used to reach a therapeutic drug level more quickly.,Pharmacology,All,Medium,Maintenance dose; Bolus,Curated core release,loading dose  maintenance dose; bolus
151,Mean arterial pressure,MAP,An estimate of average arterial pressure during one cardiac cycle and a useful indicator of organ perfusion.,Cardiovascular,Critical Care,High,Blood pressure; Perfusion,Curated core release,mean arterial pressure map blood pressure; perfusion
152,Medication reconciliation,,The process of creating and verifying an accurate medication list during transitions of care.,Safety,All,High,Medication safety; Transitions of care,Curated core release,medication reconciliation  medication safety; transitions of care
153,Metabolic acidosis,,An acid-base disorder characterized by low bicarbonate and decreased blood pH.,Acid-Base,Critical Care,High,DKA; Kussmaul respirations,Curated core release,metabolic acidosis  dka; kussmaul respirations
154,Metabolic alkalosis,,An acid-base disorder characterized by elevated bicarbonate and increased blood pH.,Acid-Base,Critical Care,High,Vomiting; Diuretics,Curated core release,metabolic alkalosis  vomiting; diuretics
155,Metastasis,,Spread of malignant cancer cells from the original site to another part of the body.,Oncology,Oncology,High,Cancer; Staging,Curated core release,metastasis  cancer; staging
156,Myocardial infarction,MI,Death of heart muscle caused by prolonged interruption of coronary blood flow.,Cardiovascular,Cardiac,High,ACS; Ischemia,Curated core release,myocardial infarction mi acs; ischemia
157,Nasogastric tube,NG tube,"A tube passed through the nose into the stomach for decompression, feeding, or medication administration.",Gastrointestinal,Med-Surg,High,Enteral feeding; Aspiration,Curated core release,nasogastric tube ng tube enteral feeding; aspiration
158,Negative-pressure room,,"A room designed so air flows into the room and is exhausted safely, helping contain airborne pathogens.",Infection Control,All,High,Airborne precautions; N95,Curated core release,negative-pressure room  airborne precautions; n95
159,Neutropenia,,"An abnormally low number of neutrophils, increasing infection risk.",Hematology,Oncology,High,ANC; Neutropenic precautions,Curated core release,neutropenia  anc; neutropenic precautions
160,Nitroglycerin,,A nitrate medication that dilates blood vessels and is commonly used to relieve ischemic chest pain.,Pharmacology,Cardiac,High,Angina; Blood pressure,Curated core release,nitroglycerin  angina; blood pressure
